name,gender,archetype
Muhammad,Boy,Recent Entrant
Noah,Boy,Recent Entrant
Oliver,Boy,Intermittent Presence
Arthur,Boy,Intermittent Presence
Leo,Boy,Recent Entrant
George,Boy,Steady Classic
Luca,Boy,Recent Entrant
Theodore,Boy,Recent Entrant
Oscar,Boy,Recent Entrant
Archie,Boy,Recent Entrant
Jude,Boy,Recent Entrant
Theo,Boy,Recent Entrant
Freddie,Boy,Recent Entrant
Henry,Boy,Intermittent Presence
Alfie,Boy,Recent Entrant
Charlie,Boy,Recent Entrant
Finley,Boy,Recent Entrant
Harry,Boy,Intermittent Presence
Mohammed,Boy,Steady Classic
Jack,Boy,Intermittent Presence
Elijah,Boy,Recent Entrant
Rory,Boy,Recent Entrant
Lucas,Boy,Recent Entrant
Thomas,Boy,Steady Classic
William,Boy,Steady Classic
Louie,Boy,Recent Entrant
Teddy,Boy,Recent Entrant
Jacob,Boy,Recent Entrant
Edward,Boy,Steady Classic
Reuben,Boy,Recent Entrant
Adam,Boy,Recent Entrant
Alexander,Boy,Steady Classic
Isaac,Boy,Recent Entrant
Tommy,Boy,Recent Entrant
James,Boy,Steady Classic
Max,Boy,Recent Entrant
Sebastian,Boy,Recent Entrant
Hugo,Boy,Recent Entrant
Louis,Boy,Intermittent Presence
Ethan,Boy,Recent Entrant
Ronnie,Boy,Recent Entrant
Joshua,Boy,Recent Entrant
Sonny,Boy,Recent Entrant
Harrison,Boy,Recent Entrant
Mohammad,Boy,Recent Entrant
Jesse,Boy,Intermittent Presence
Frederick,Boy,Intermittent Presence
Joseph,Boy,Steady Classic
Albert,Boy,Intermittent Presence
Frankie,Boy,Recent Entrant
Daniel,Boy,Steady Classic
Samuel,Boy,Intermittent Presence
Benjamin,Boy,Intermittent Presence
Felix,Boy,Recent Entrant
Mason,Boy,Recent Entrant
David,Boy,Steady Classic
Dylan,Boy,Recent Entrant
Zachary,Boy,Declining Former Favorite
Liam,Boy,Recent Entrant
Kai,Boy,Declining Former Favorite
Gabriel,Boy,Declining Former Favorite
Caleb,Boy,Declining Former Favorite
Logan,Boy,Recent Entrant
Ibrahim,Boy,Declining Former Favorite
Riley,Boy,Recent Entrant
Alfred,Boy,Intermittent Presence
Bobby,Boy,Declining Former Favorite
Michael,Boy,Steady Classic
Toby,Boy,Declining Former Favorite
Austin,Boy,Declining Former Favorite
Nathan,Boy,Declining Former Favorite
Ralph,Boy,Intermittent Presence
Ellis,Boy,Declining Former Favorite
Elliot,Boy,Declining Former Favorite
Leon,Boy,Declining Former Favorite
Stanley,Boy,Intermittent Presence
Jayden,Boy,Recent Entrant
Harvey,Boy,Recent Entrant
Vincent,Boy,Lost Generation
Charles,Boy,Steady Classic
Patrick,Boy,Steady Classic
Elliott,Boy,Declining Former Favorite
Robin,Boy,Declining Former Favorite
Billy,Boy,Declining Former Favorite
Ryan,Boy,Declining Former Favorite
Wilfred,Boy,Lost Generation
Luke,Boy,Declining Former Favorite
Matthew,Boy,Intermittent Presence
Robert,Boy,Steady Classic
Abdul,Boy,Declining Former Favorite
Aaron,Boy,Declining Former Favorite
Owen,Boy,Intermittent Presence
Dominic,Boy,Declining Former Favorite
Eric,Boy,Declining Former Favorite
John,Boy,Steady Classic
Alex,Boy,Declining Former Favorite
Evan,Boy,Lost Generation
Finlay,Boy,Declining Former Favorite
Jake,Boy,Recent Entrant
Francis,Boy,Lost Generation
Frank,Boy,Declining Former Favorite
Jason,Boy,Declining Former Favorite
Christopher,Boy,Steady Classic
Kian,Boy,Recent Entrant
Joel,Boy,Declining Former Favorite
Nicholas,Boy,Declining Former Favorite
Jordan,Boy,Declining Former Favorite
Tyler,Boy,Recent Entrant
Anthony,Boy,Steady Classic
Cameron,Boy,Recent Entrant
Lewis,Boy,Intermittent Presence
Sidney,Boy,Lost Generation
Jamie,Boy,Declining Former Favorite
Marcus,Boy,Declining Former Favorite
Reginald,Boy,Declining Former Favorite
Adrian,Boy,Declining Former Favorite
Leonard,Boy,Declining Former Favorite
Callum,Boy,Declining Former Favorite
Douglas,Boy,Lost Generation
Connor,Boy,Declining Former Favorite
Kevin,Boy,Declining Former Favorite
Ivan,Boy,Lost Generation
Victor,Boy,Lost Generation
Mark,Boy,Intermittent Presence
Julian,Boy,Declining Former Favorite
Peter,Boy,Steady Classic
Ernest,Boy,Declining Former Favorite
Jonathan,Boy,Declining Former Favorite
Andrew,Boy,Steady Classic
Percy,Boy,Lost Generation
Sam,Boy,Recent Entrant
Walter,Boy,Declining Former Favorite
Martin,Boy,Steady Classic
Rhys,Boy,Declining Former Favorite
Bradley,Boy,Recent Entrant
Declan,Boy,Declining Former Favorite
Archibald,Boy,Lost Generation
Timothy,Boy,Declining Former Favorite
Christian,Boy,Declining Former Favorite
Laurence,Boy,Lost Generation
Richard,Boy,Steady Classic
Denis,Boy,Lost Generation
Edwin,Boy,Lost Generation
Dennis,Boy,Declining Former Favorite
Philip,Boy,Steady Classic
Bryan,Boy,Declining Former Favorite
Hugh,Boy,Lost Generation
Jay,Boy,Recent Entrant
Ben,Boy,Recent Entrant
Danny,Boy,Declining Former Favorite
Ivor,Boy,Lost Generation
Simon,Boy,Declining Former Favorite
Ian,Boy,Declining Former Favorite
Brian,Boy,Declining Former Favorite
Raymond,Boy,Declining Former Favorite
Fred,Boy,Lost Generation
Lawrence,Boy,Lost Generation
Paul,Boy,Steady Classic
Alan,Boy,Steady Classic
Jeremy,Boy,Declining Former Favorite
Reece,Boy,Declining Former Favorite
Bernard,Boy,Lost Generation
Justin,Boy,Declining Former Favorite
Sean,Boy,Declining Former Favorite
Dean,Boy,Declining Former Favorite
Kyle,Boy,Recent Entrant
Stephen,Boy,Steady Classic
Brandon,Boy,Recent Entrant
Kieran,Boy,Recent Entrant
Arnold,Boy,Lost Generation
Tom,Boy,Intermittent Presence
Joe,Boy,Declining Former Favorite
Ronald,Boy,Declining Former Favorite
Roy,Boy,Declining Former Favorite
Steven,Boy,Declining Former Favorite
Percival,Boy,Lost Generation
Lionel,Boy,Lost Generation
Tony,Boy,Declining Former Favorite
Edmund,Boy,Lost Generation
Josh,Boy,Declining Former Favorite
Shane,Boy,Declining Former Favorite
Ashley,Boy,Recent Entrant
Bruce,Boy,Declining Former Favorite
Edgar,Boy,Lost Generation
Gavin,Boy,Declining Former Favorite
Sydney,Boy,Lost Generation
Alec,Boy,Lost Generation
Antony,Boy,Declining Former Favorite
Kenneth,Boy,Steady Classic
Neil,Boy,Declining Former Favorite
Colin,Boy,Steady Classic
Harold,Boy,Declining Former Favorite
Marc,Boy,Declining Former Favorite
Scott,Boy,Declining Former Favorite
Darren,Boy,Declining Former Favorite
Derek,Boy,Declining Former Favorite
Roland,Boy,Lost Generation
Malcolm,Boy,Declining Former Favorite
Shaun,Boy,Declining Former Favorite
Herbert,Boy,Lost Generation
Lee,Boy,Declining Former Favorite
Basil,Boy,Lost Generation
Gilbert,Boy,Lost Generation
Gregory,Boy,Declining Former Favorite
