name,gender,years_present,years_absent,presence_ratio,peak_count,peak_year,peak_year_normalized,mean_count,median_count,total_count,std_count,cv_count,mean_change,max_increase,max_decrease,volatility,first_year,last_year,first_count,last_count,debut_strength,trajectory,num_runs,longest_run,avg_run_length,recent_presence,recent_mean,early_presence,early_mean,cluster_kmeans,cluster_hdbscan
Muhammad,Boy,29,0,1.0,5721.0,2024,1.0,2490.448275862069,2451.0,72223.0,1439.6113121545116,0.5780530863088051,188.57142857142858,1060.0,-217.0,232.35693425839304,1996,2024,441.0,5721.0,441.0,4.029975124378109,1,29,29.0,5,4398.2,5,610.6,0,-1
Noah,Boy,29,0,1.0,4586.0,2022,0.9285714285714286,2503.310344827586,3084.0,72596.0,1705.1806477957466,0.6811702956922786,142.92857142857142,834.0,-243.0,256.55964616598675,1996,2024,137.0,4139.0,137.0,10.425459940652818,1,29,29.0,5,4334.8,5,232.0,0,-1
Oliver,Boy,29,0,1.0,8427.0,2010,0.5,5420.586206896552,5390.0,157197.0,1398.9394139660521,0.25807899008896806,-5.821428571428571,1063.0,-1420.0,520.1884310771728,1996,2024,3655.0,3492.0,3655.0,0.12024952015355092,1,29,29.0,5,3826.2,5,3926.4,6,-1
Arthur,Boy,29,0,1.0,4211.0,2019,0.8214285714285714,1502.9655172413793,786.0,43586.0,1424.7774050648588,0.9479774410792664,115.67857142857143,849.0,-286.0,240.7145692028852,1996,2024,129.0,3368.0,129.0,16.335352358765288,1,29,29.0,5,3635.2,5,157.6,0,-1
Leo,Boy,29,0,1.0,3781.0,2017,0.75,2181.0,2123.0,63249.0,1325.971472101714,0.6079649115551188,113.39285714285714,604.0,-350.0,218.57923363748677,1996,2024,149.0,3324.0,149.0,6.986453882885148,1,29,29.0,5,3425.8,5,194.4,0,-1
George,Boy,29,0,1.0,5263.0,2016,0.7142857142857143,4181.310344827586,4214.0,121258.0,490.10569609142516,0.11721342250945364,-36.785714285714285,549.0,-475.0,256.87925973428185,1996,2024,4287.0,3257.0,4287.0,0.0724748169758352,1,29,29.0,5,3738.2,5,4346.6,6,-1
Luca,Boy,29,0,1.0,3195.0,2023,0.9642857142857143,1045.6206896551723,982.0,30323.0,752.1953806069412,0.7193769098572468,97.53571428571429,818.0,-381.0,212.85935701149467,1996,2024,83.0,2814.0,83.0,4.773517786561265,1,29,29.0,5,2352.8,5,161.0,5,-1
Theodore,Boy,29,0,1.0,2889.0,2021,0.8928571428571429,1041.7586206896551,442.0,30211.0,996.3651060202023,0.9564260724433441,93.17857142857143,731.0,-169.0,156.39762821809316,1996,2024,152.0,2761.0,152.0,10.616806722689075,1,29,29.0,5,2777.6,5,172.8,5,-1
Oscar,Boy,29,0,1.0,4511.0,2013,0.6071428571428571,2327.4137931034484,2747.0,67495.0,1314.2288552408525,0.5646734839911803,87.14285714285714,1222.0,-279.0,309.7266899202902,1996,2024,307.0,2747.0,307.0,3.867941176470588,1,29,29.0,5,2920.2,5,481.6,0,-1
Archie,Boy,29,0,1.0,3265.0,2013,0.6071428571428571,2067.7586206896553,2544.0,59965.0,986.9635305833473,0.47731080441786156,85.92857142857143,753.0,-406.0,248.44616096442138,1996,2024,169.0,2575.0,169.0,2.665074671003992,1,29,29.0,5,2706.2,5,378.4,0,-1
Jude,Boy,29,0,1.0,2540.0,2024,1.0,832.9655172413793,757.0,24156.0,592.4456315959687,0.7112486883707192,89.85714285714286,576.0,-106.0,141.44350570500737,1996,2024,24.0,2540.0,24.0,4.617359932088285,1,29,29.0,5,1795.0,5,84.8,5,-1
Theo,Boy,29,0,1.0,2808.0,2022,0.9285714285714286,1399.7931034482758,1407.0,40594.0,969.160830726514,0.692360055453242,80.96428571428571,337.0,-319.0,149.64135270297282,1996,2024,120.0,2387.0,120.0,9.118594306049822,1,29,29.0,5,2559.2,5,152.6,5,-1
Freddie,Boy,29,0,1.0,3287.0,2016,0.7142857142857143,1618.7931034482758,1716.0,46945.0,1141.1402760430508,0.7049327512035035,81.42857142857143,934.0,-289.0,221.87020474841148,1996,2024,89.0,2369.0,89.0,11.83641791044776,1,29,29.0,5,2656.0,5,102.6,0,-1
Henry,Boy,29,0,1.0,3581.0,2015,0.6785714285714286,2247.4827586206898,2239.0,65177.0,828.5179381526183,0.3686426224960635,43.75,386.0,-288.0,179.68934005269045,1996,2024,1135.0,2360.0,1135.0,1.3577531645569618,1,29,29.0,5,2650.8,5,1260.2,0,-1
Arlo,Boy,29,0,1.0,2253.0,2023,0.9642857142857143,657.2758620689655,146.0,19061.0,846.9229047904771,1.2885349267574544,79.28571428571429,666.0,-37.0,141.6232066190468,1996,2024,0.0,2220.0,0.0,190.94146341463414,1,29,29.0,5,2142.2,5,1.6,5,-1
Alfie,Boy,29,0,1.0,5566.0,2008,0.42857142857142855,2984.137931034483,2977.0,86540.0,1566.4168803495431,0.5249143694261238,58.857142857142854,2144.0,-705.0,572.9499301413516,1996,2024,372.0,2020.0,372.0,0.9616470025510203,1,29,29.0,5,2237.4,5,757.2,6,-1
Charlie,Boy,29,0,1.0,5571.0,2012,0.5714285714285714,3612.448275862069,3365.0,104761.0,1273.9644770180696,0.35265957592543046,1.5714285714285714,730.0,-641.0,356.2629875899693,1996,2024,1912.0,1956.0,1912.0,0.24571933701657464,1,29,29.0,5,2368.2,5,2235.8,6,-1
Finley,Boy,29,0,1.0,2613.0,2020,0.8571428571428571,1462.4137931034484,1844.0,42410.0,792.5085234934387,0.5419181132117359,66.57142857142857,771.0,-330.0,206.97212175477515,1996,2024,22.0,1886.0,22.0,4.302400231347599,1,29,29.0,5,2130.2,5,183.2,0,-1
