name,gender,cluster,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Onkar,Boy,4,4,5,3,3,5,4,6,0,0,0,0,0,0,0,0,0,4,3,0,4,5,4,0,4,3,3,7,6,4
Zakarias,Boy,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kourosh,Boy,4,0,3,4,0,4,4,3,6,0,0,3,0,0,3,5,5,8,6,4,0,0,0,4,3,0,0,0,4,3
Jaicob,Boy,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,9,0,4,5,0,0,0,0,0,0,0,0,0
Trishiv,Boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Giorgio,Boy,0,17,19,22,19,18,7,11,14,20,19,9,26,18,17,20,16,14,24,29,17,27,30,34,41,34,30,39,38,27
Akshayen,Boy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshkun,Boy,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christoff,Boy,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athavan,Boy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,3,0,0,0,0,4,0,0,0
Jeon,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Abdulrahman,Boy,2,12,14,19,17,15,20,30,37,45,48,38,45,53,55,73,62,62,59,62,66,59,43,42,38,55,33,48,58,61
Inder,Boy,4,4,3,7,0,7,3,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,0,0,3,0
Ankush,Boy,2,0,0,0,3,3,0,0,6,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
Yezan,Boy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Nashawn,Boy,1,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reda,Boy,2,0,0,0,0,4,0,3,3,6,0,0,3,3,0,5,4,4,4,4,6,6,4,3,4,3,7,0,5,4
