name|gender,1900s,1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s,Archetype
Muhammad|Boy,x,x,x,x,x,x,x,x,x,x,51,14,1,Recent Entrant
Noah|Boy,x,x,x,x,x,x,x,x,x,x,74,11,2,Recent Entrant
Oliver|Boy,93,x,x,x,x,x,x,84,48,23,7,1,3,Intermittent Presence
Arthur|Boy,5,6,9,25,47,72,x,x,x,x,x,41,4,Intermittent Presence
Leo|Boy,x,x,x,x,x,x,x,x,x,x,57,16,5,Recent Entrant
George|Boy,3,3,3,10,21,35,54,83,71,21,17,7,6,Steady Classic
Luca|Boy,x,x,x,x,x,x,x,x,x,x,95,58,7,Recent Entrant
Theodore|Boy,x,x,x,x,x,x,x,x,x,x,x,59,8,Recent Entrant
Oscar|Boy,x,x,x,x,x,x,x,x,x,x,59,8,9,Recent Entrant
Archie|Boy,x,x,x,x,x,x,x,x,x,x,45,17,10,Recent Entrant
Jude|Boy,x,x,x,x,x,x,x,x,x,x,94,65,11,Recent Entrant
Theo|Boy,x,x,x,x,x,x,x,x,x,x,x,37,12,Recent Entrant
Freddie|Boy,x,x,x,x,x,x,x,x,x,x,96,20,13,Recent Entrant
Henry|Boy,17,16,24,45,63,83,x,x,x,74,48,15,14,Intermittent Presence
Arlo|Boy,x,x,x,x,x,x,x,x,x,x,x,x,15,
Alfie|Boy,x,x,x,x,x,x,x,x,x,x,25,12,16,Recent Entrant
Charlie|Boy,x,x,x,x,x,x,x,x,x,59,15,5,17,Recent Entrant
Finley|Boy,x,x,x,x,x,x,x,x,x,x,72,36,18,Recent Entrant
Albie|Boy,x,x,x,x,x,x,x,x,x,x,x,x,19,
Harry|Boy,18,19,30,51,65,100,x,x,x,30,11,3,20,Intermittent Presence
Mohammed|Boy,x,x,91,68,87,56,73,61,54,41,19,27,21,Steady Classic
Jack|Boy,39,30,33,52,81,x,x,x,74,3,1,2,22,Intermittent Presence
Elijah|Boy,x,x,x,x,x,x,x,x,x,x,x,53,23,Recent Entrant
Rory|Boy,x,x,x,x,x,x,x,x,x,x,x,87,24,Recent Entrant
Lucas|Boy,x,x,x,x,x,x,x,x,x,x,75,30,25,Recent Entrant
Thomas|Boy,4,4,5,12,19,24,34,40,11,1,3,6,26,Steady Classic
William|Boy,1,2,2,3,9,15,29,41,34,19,8,10,27,Steady Classic
Louie|Boy,x,x,x,x,x,x,x,x,x,x,91,67,28,Recent Entrant
Teddy|Boy,x,x,x,x,x,x,x,x,x,x,x,66,29,Recent Entrant
Jacob|Boy,x,x,x,x,x,x,x,x,x,35,23,4,30,Recent Entrant
Edward|Boy,12,11,12,20,29,45,49,52,51,47,43,31,31,Steady Classic
Roman|Boy,x,x,x,x,x,x,x,x,x,x,x,x,32,
Reuben|Boy,x,x,x,x,x,x,x,x,x,x,x,51,33,Recent Entrant
Oakley|Boy,x,x,x,x,x,x,x,x,x,x,x,x,34,
Adam|Boy,x,x,x,x,x,x,68,35,12,11,24,39,35,Recent Entrant
Alexander|Boy,42,53,54,66,66,71,77,43,25,13,20,22,36,Steady Classic
Isaac|Boy,x,x,x,x,x,x,x,x,x,x,58,25,37,Recent Entrant
Ezra|Boy,x,x,x,x,x,x,x,x,x,x,x,x,38,
Tommy|Boy,x,x,x,x,x,x,x,x,x,x,x,55,39,Recent Entrant
James|Boy,6,5,4,6,10,14,19,7,2,2,4,9,40,Steady Classic
Rowan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,41,
Hudson|Boy,x,x,x,x,x,x,x,x,x,x,x,x,42,
Reggie|Boy,x,x,x,x,x,x,x,x,x,x,x,x,43,
Max|Boy,x,x,x,x,x,x,x,x,x,72,34,26,44,Recent Entrant
Sebastian|Boy,x,x,x,x,x,x,x,x,x,x,90,38,45,Recent Entrant
Hugo|Boy,x,x,x,x,x,x,x,x,x,x,x,70,46,Recent Entrant
Louis|Boy,78,79,x,x,x,x,x,x,x,66,38,68,47,Intermittent Presence
Ethan|Boy,x,x,x,x,x,x,x,x,x,x,13,18,48,Recent Entrant
Ronnie|Boy,x,x,x,x,x,x,x,x,x,x,x,86,49,Recent Entrant
Joshua|Boy,x,x,x,x,x,x,x,x,78,7,2,13,50,Recent Entrant
Sonny|Boy,x,x,x,x,x,x,x,x,x,x,x,95,51,Recent Entrant
Harrison|Boy,x,x,x,x,x,x,x,x,x,x,47,32,52,Recent Entrant
Mohammad|Boy,x,x,x,x,x,84,x,x,83,96,69,56,53,Recent Entrant
Jesse|Boy,100,x,x,x,x,x,x,x,x,x,x,x,54,Intermittent Presence
Frederick|Boy,8,7,10,24,42,67,x,x,x,x,x,81,55,Intermittent Presence
