Rank,1904,1914,1924,1934,1944,1954,1964,1974,1984,1994,2004,2014,2024
1,Mary,Mary,Margaret,Margaret,Margaret,Susan,Susan,Sarah,Sarah,Rebecca,Emily ,Amelia ,Olivia
2,Florence,Margaret,Mary,Jean,Patricia,Linda,Julie,Claire,Laura,Lauren,Ellie ,Olivia ,Amelia
3,Doris,Doris,Joan,Mary,Christine,Christine,Karen,Nicola,Gemma,Jessica,Jessica ,Isla ,Lily
4,Edith,Dorothy,Joyce,Joan,Mary,Margaret,Jacqueline,Emma,Emma,Charlotte,Sophie ,Emily ,Isla
5,Dorothy,Kathleen,Dorothy,Patricia,Jean,Janet,Deborah,Lisa,Rebecca,Hannah,Chloe ,Poppy ,Ivy
6,Annie,Florence,Kathleen,Sheila,Ann,Patricia,Tracey,Joanne,Claire,Sophie,Olivia ,Ava ,Florence
7,Margaret,Elsie,Doris,Barbara,Susan,Carol,Jane,Michelle,Victoria,Amy,Lucy ,Isabella ,Freya
8,Alice,Edith,Irene,Doreen,Janet,Elizabeth,Helen,Helen,Samantha,Emily,Charlotte ,Jessica ,Poppy
9,Elizabeth,Elizabeth,Elizabeth,June,Maureen,Mary,Diane,Samantha,Rachel,Laura,Katie ,Lily ,Ava
10,Elsie,Winifred,Eileen,Shirley,Barbara,Anne,Sharon,Karen,Amy,Emma,Megan ,Sophie ,Elsie
11,Gladys,Gladys,Betty,Dorothy,Valerie,Ann,Tracy,Amanda,Jennifer,Chloe,Grace ,Grace ,Isabella
12,Winifred,Annie,Jean,Joyce,Carol,Jane,Angela,Rachel,Nicola,Sarah,Hannah ,Sophia ,Sofia
13,Ethel,Alice,Marjorie,Maureen,Sandra,Jacqueline,Sarah,Louise,Katie,Lucy,Amy ,Mia ,Sophia
14,Hilda,Phyllis,Gladys,Elizabeth,Pauline,Barbara,Alison,Julie,Lisa,Katie,Ella ,Evie ,Mia
15,Lilian,Hilda,Doreen,Audrey,Elizabeth,Sandra,Caroline,Clare,Kelly,Bethany,Mia ,Ruby ,Maya
16,Ivy,Lilian,Vera,Brenda,Joan,Gillian,Amanda,Rebecca,Natalie,Jade,Lily ,Ella ,Bonnie
17,Violet,Ivy,Elsie,Kathleen,Pamela,Pauline,Sandra,Sharon,Louise,Megan,Holly ,Scarlett ,Phoebe
18,Kathleen,Marjorie,Barbara,Sylvia,Jennifer,Elaine,Linda,Victoria,Michelle,Alice,Amelia ,Isabelle ,Daisy
19,Ellen,Ethel,Winifred,Eileen,Kathleen,Lesley,Catherine,Caroline,Hayley,Rachel,Abigail ,Chloe ,Sienna
20,Lily,Violet,Edna,Pamela,Anne,Angela,Elizabeth,Susan,Hannah,Samantha,Emma ,Sienna ,Evelyn
21,Sarah,Irene,Audrey,Betty,Sheila,Pamela,Carol,Alison,Helen,Danielle,Molly ,Freya ,Willow
22,Nellie,Edna,Edith,Beryl,Brenda,Helen,Joanne,Catherine,Charlotte,Holly,Millie ,Phoebe ,Harper
23,Emily,Vera,Florence,Ann,Gillian,Jennifer,Wendy,Elizabeth,Joanne,Abigail,Lauren ,Charlotte ,Charlotte
24,Mabel,Ellen,Phyllis,Irene,Linda,Valerie,Janet,Deborah,Lucy,Olivia,Leah ,Daisy ,Rosie
25,Ada,Lily,Lilian,Janet,Jacqueline,Jean,Dawn,Donna,Elizabeth,Stephanie,Caitlin ,Alice ,Grace
26,Beatrice,Olive,Hilda,Anne,Sylvia,Catherine,Christine,Tracey,Leanne,Elizabeth,Rebecca ,Florence ,Maeve
27,Marjorie,Eileen,Olive,Rita,Carole,Julie,Nicola,Tracy,Danielle,Victoria,Georgia ,Eva ,Millie
28,May,Evelyn,Annie,Pauline,Eileen,Kathleen,Gillian,Angela,Donna,Natasha,Bethany ,Sofia ,Margot
29,Rose,Joan,Violet,Mavis,Wendy,Denise,Sally,Jane,Katherine,Georgia,Eleanor ,Millie ,Evie
30,Olive,Rose,Alice,Iris,Judith,Maureen,Maria,Zoe,Clare,Zoe,Isabelle ,Lucy ,Arabella
31,Evelyn,Sarah,Patricia,Marjorie,Dorothy,Judith,Michelle,Kerry,Stephanie,Natalie,Ruby ,Evelyn ,Matilda
32,Phyllis,Nellie,Ivy,Valerie,June,Wendy,Debra,Melanie,Stacey,Eleanor,Daisy ,Elsie ,Hallie
33,Gertrude,Beatrice,Muriel,Doris,Joyce,Diane,Paula,Sally,Lauren,Shannon,Freya ,Rosie ,Delilah
34,Catherine,Mabel,Iris,Marion,Irene,Sheila,Anne,Jennifer,Joanna,Paige,Isabella ,Imogen ,Emily
35,Agnes,May,Evelyn,Marina,Diane,Janice,Lorraine,Dawn,Kerry,Georgina,Elizabeth ,Lola ,Aria
36,Jessie,Catherine,Peggy,Catherine,Rosemary,Lynn,Patricia,Andrea,Emily,Gemma,Erin ,Matilda ,Penelope
37,Frances,Frances,Catherine,Vera,Angela,Karen,Mary,Suzanne,Catherine,Nicole,Jasmine ,Elizabeth ,Mabel
38,Grace,Emily,Ethel,Josephine,Doreen,Yvonne,Denise,Lucy,Sophie,Chelsea,Evie ,Layla ,Lottie
39,Irene,Ada,Beryl,Edna,Shirley,Lynne,Margaret,Joanna,Anna,Kirsty,Alice ,Holly ,Ella
40,Eva,Jessie,Gwendoline,Lilian,Marion,Shirley,Ann,Anna,Jessica,Alexandra,Paige ,Lilly ,Ada
41,Constance,Muriel,Ellen,Norma,Rita,Marion,Beverley,Charlotte,Zoe,Melissa,Madison ,Molly ,Ruby
42,Edna,Grace,Sylvia,Rosemary,Catherine,Maria,Donna,Paula,Kirsty,Jennifer,Amber ,Erin ,Violet
43,Jane,Agnes,Sheila,Phyllis,Yvonne,Rosemary,Elaine,Katherine,Kimberley,Hayley,Phoebe ,Ellie ,Aurora
44,Amy,Constance,Rose,Hazel,Josephine,Carole,Fiona,Maria,Kate,Louise,Abbie ,Maisie ,Maisie
45,Vera,Gwendoline,Constance,Evelyn,Helen,Joan,Jennifer,Marie,Jenna,Katherine,Poppy ,Maya ,Emilia
46,Muriel,Gertrude,Frances,Edith,Beryl,Marilyn,Lesley,Fiona,Caroline,Jodie,Courtney ,Abigail ,Mila
47,Daisy,Nora,Lily,Olive,Hazel,June,Louise,Kelly,Natasha,Grace,Aimee ,Eliza ,Ayla
48,Minnie,Eva,Freda,Winifred,Frances,Lorraine,Mandy,Natalie,Rachael,Anna,Niamh ,Georgia ,Luna
49,Maud,Joyce,Marion,Florence,Janice,Lynda,Tina,Kathryn,Amanda,Molly,Isabel ,Jasmine ,Alice
50,Lucy,Nancy,Nancy,Ruth,Elaine,Sally,Jayne,Jacqueline,Kathryn,Amber,Anna ,Esme ,Sophie
51,Emma,Jane,Grace,Elsie,Diana,Marian,Suzanne,Wendy,Karen,Jasmine,Keira ,Willow ,Esme
52,Eleanor,Freda,Beatrice,Muriel,Veronica,Brenda,Andrea,Sara,Alexandra,Kayleigh,Libby ,Bella ,Isabelle
53,Louisa,Barbara,Sarah,Marie,Jane,Alison,Pauline,Hayley,Jodie,Kelly,Isobel ,Annabelle ,Olive
54,Dora,Daisy,Agnes,Daphne,Marilyn,Teresa,Lisa,Laura,Alison,Harriet,Shannon ,Ivy ,Eva
55,Nora,Anne,Ruth,Frances,Lesley,Julia,Claire,Natasha,Sara,Ashleigh,Tia ,Amber ,Elodie
56,Gwendoline,Norah,May,Christine,Norma,Heather,Kim,Ruth,Jemma,Catherine,Sarah ,Emilia ,Layla
57,Helen,Amy,Nora,Thelma,Maria,Marie,Julia,Lorraine,Carly,Leah,Rosie ,Emma ,Maryam
58,Ida,Iris,Brenda,Gladys,Heather,Eileen,Teresa,Tina,Heather,Nicola,Zoe ,Summer ,Orla
59,Clara,Dora,Jessie,Maria,Gloria,Deborah,Heather,Rachael,Holly,Francesca,Maisie ,Hannah ,Rose
60,Hannah,Helen,Pamela,Gwendoline,Marie,Kathryn,Kathryn,Anne,Ruth,Naomi,Alicia ,Eleanor ,Eden
61,Anne,Lucy,Anne,Hilda,Marjorie,Hilary,Lynn,Stephanie,Fiona,Kate,Eve ,Harriet ,Iris
62,Norah,Ruth,Helen,Violet,Hilary,Caroline,Ruth,Kirsty,Melissa,Abbie,Alisha ,Rose ,Elizabeth
63,Kate,Marion,Marie,Helen,Jill,Sharon,Yvonne,Christine,Angela,Claire,Sophia ,Amelie ,Eliza
64,Martha,Maud,Mabel,Rose,Cynthia,Sylvia,Judith,Julia,Suzanne,Leanne,Nicole ,Lexi ,Imogen
