#
# This data is provided by behindthename.com and is licensed under CC BY-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/4.0
#
# Given names, their genders and synonyms, exported from the behindthename.com database.
# Fri, 26 Sep 2025 23:27:02 -0700
#
# name	gender	related
Aabraham	m	Aapo
Aada	f	Ada
Aadan	m	
Aaden	m	Aden,Aidan,Aiden,Aydan,Ayden
Aadolf	m	Aatto,Aatu,Atte
Aafje	f	
Aage	m	Åge
Aali	m	
Aalis	f	
Aaliyah	f	Aleah,Alia,Aliya,Aliyah
Aamaal	f	Amel
Aamadu	m	
Aamina	f	Aaminah,Amina,Aminah
Aaminah	f	Aamina,Amina,Aminah
Aaminata	f	
'Aamir	m	Aamir,Amer
Aamir	m	'Aamir,Ameer,Amer,Amir
Aamu	f	
Aanakwad	mf	
Aang	m	
Aapeli	m	
Aapo	m	
Aaralyn	f	
Aaren	mf	Aaron,Arron
Aarne	m	
Aarni	m	
Aaro	m	Aaron
Aäron	m	
Aarón	m	
Aaron	m	Aaro,Arron
Aarre	m	
Aart	m	Arno,Arnold,Arnoud,Arnout,Noud
Aarthi	f	
Aarti	f	Arati,Arti
Aase	f	
Aatami	m	
Aatos	m	
Aatto	m	
Aatu	m	
Aava	f	
Abacuc	m	Habacuc
Abaddon	m	
Abai	m	
Əbəlfəz	m	Əbülfəz
Abayomi	m	
Abbán	m	
'Abbas	m	Abbas
Abbas	m	'Abbas
Abbe	m	
Abbey	f	Abbi,Abbie,Abbigail,Abby,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abbi	f	Abbey,Abbie,Abbigail,Abby,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abbie	f	Abbey,Abbi,Abbigail,Abby,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abbigail	f	Abbey,Abbi,Abbie,Abby,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abbondio	m	
Abby	f	Abbey,Abbi,Abbie,Abbigail,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abd al-Aziz	m	Abdelaziz,Abdul Aziz,Abdulaziz
Abd al-Fattah	m	Abdelfattah
Abd al-Ghani	m	Abdelghani
Abd al-Hadi	m	Abdulhadi
Abd al-Hakim	m	Abdelhakim
Abd al-Hamid	m	Abdelhamid,Abdul Hamid
Abd al-Haqq	m	Abdelhak,Abdul Haq
Abd al-Ilah	m	Abd Allah,Abdallah,Abdellah,Abdulla,Abdullah
Abd al-Kader	m	Abd al-Qadir,Abdelkader
Abd al-Karim	m	
Abd Allah	m	Abd al-Ilah,Abdallah,Abdellah,Abdulla,Abdullah
Abdallah	m	Abd al-Ilah,Abd Allah,Abdellah,Abdulla,Abdullah
Abd al-Latif	m	Abdellatif
Abd al-Majid	m	Abdelmajid
Abd al-Malik	m	
Abd al-Qadir	m	Abd al-Kader,Abdelkader
Abd al-Rahim	m	Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abd al-Rahman	m	Abd al-Rahim,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abd al-Rashid	m	Abd ar-Rashid,Abdur Rashid
Abd al-Salam	m	Abd as-Salam,Abdeslam,Abdessalam,Abdus Salam
Abd al-Wali	m	
Abd ar-Rahim	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abd ar-Rahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abd ar-Rashid	m	Abd al-Rashid,Abdur Rashid
Abd as-Salam	m	Abd al-Salam,Abdeslam,Abdessalam,Abdus Salam
Abdastartos	m	Abdastartus
Abdastartus	m	Abdastartos
Abdel	m	Abdo,Abduh,Abdul
Abdelaziz	m	Abd al-Aziz,Abdul Aziz,Abdulaziz
Abdelfattah	m	Abd al-Fattah
Abdelghani	m	Abd al-Ghani
Abdelhak	m	Abd al-Haqq,Abdul Haq
Abdelhakim	m	Abd al-Hakim
Abdelhamid	m	Abd al-Hamid,Abdul Hamid
Abdelkader	m	Abd al-Kader,Abd al-Qadir
Abdellah	m	Abd al-Ilah,Abd Allah,Abdallah,Abdulla,Abdullah
Abdellatif	m	Abd al-Latif
Abdelmajid	m	Abd al-Majid
Abderrahim	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abderrahmane	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abdeslam	m	Abd al-Salam,Abd as-Salam,Abdessalam,Abdus Salam
Abdessalam	m	Abd al-Salam,Abd as-Salam,Abdeslam,Abdus Salam
Abdias	m	Abdiou
Abdiel	m	
Abdiou	m	Abdias
Abdo	m	Abdel,Abduh,Abdul
Abdolhossein	m	
Abdollah	m	
Abdolreza	m	
Abdou	m	
Abdoul	m	
Abdoulaye	m	
Abduh	m	Abdel,Abdo,Abdul
Abdul	m	Abdel,Abdo,Abduh
Abdulah	m	
Abdülaziz	m	
Abdul Aziz	m	Abd al-Aziz,Abdelaziz,Abdulaziz
Abdulaziz	m	Abd al-Aziz,Abdelaziz,Abdul Aziz
Abdulhadi	m	Abd al-Hadi
Abdul Hamid	m	Abd al-Hamid,Abdelhamid
Abdülhamit	m	
Abdul Haq	m	Abd al-Haqq,Abdelhak
Abdülkadir	m	
Abdülkerim	m	
Abdulla	m	Abd al-Ilah,Abd Allah,Abdallah,Abdellah,Abdullah,Abdullo,Abdulloh
Abdullaahi	m	
Abdullah	m	Abd al-Ilah,Abd Allah,Abdallah,Abdellah,Abdulla
Abdullahi	m	
Abdüllatif	m	
Abdullo	m	Abdulla,Abdulloh
Abdulloh	m	Abdulla,Abdullo
Abdullohi	m	
Abdul Rahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abdulrahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abdurakhman	m	
Abdur Rahim	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahman,Abdurrahman
Abdur Rahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdurrahman
Abdurrahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman
Abdur Rashid	m	Abd al-Rashid,Abd ar-Rashid
Abdus Salam	m	Abd al-Salam,Abd as-Salam,Abdeslam,Abdessalam
Abduweli	m	
Abe	m	Abraham,Bram
Abeba	f	
Abednego	m	
Abeeha	f	Abiha
Abeer	f	Abir
Abegail	f	Abbey,Abbi,Abbie,Abbigail,Abby,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Ábel	m	
Abel	m	
Abelardo	m	
Abele	m	
Abelone	f	Lone
Abena	f	
Abene	f	
Abeni	f	
Abenner	m	
Aberash	f	
Abessa	m	
Abessalom	m	
Abha	f	
Abhay	m	
Abhijeet	m	Abhijit
Abhijit	m	Abhijeet
Abhilash	m	
Abhilasha	f	
Abhinav	m	
Abhishek	m	
Abi	f	Abbey,Abbi,Abbie,Abbigail,Abby,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abia	mf	
Abiah	mf	Abijah
Abiathar	m	
Abidan	m	
Abidemi	mf	
Abiel	m	
Abigaëlle	f	
Abigaia	f	
Abigaíl	f	
Abigaïl	f	
Abigail	f	Abbey,Abbi,Abbie,Abbigail,Abby,Abi,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abigale	f	Abbey,Abbi,Abbie,Abbigail,Abby,Abi,Abigail,Abigayle,Gail,Gale,Gayla,Gayle
Abigayle	f	Abbey,Abbi,Abbie,Abbigail,Abby,Abi,Abigail,Abigale,Gail,Gale,Gayla,Gayle
Abigél	f	
Abiha	f	Abeeha
Abihu	m	
Abijah	mf	Abiah
Abilene	f	
Abílio	m	
Abilio	m	
Abimael	m	
Abimbola	fm	
Abimelech	m	
Abiodun	mf	
Abiola	fm	
Abioye	mf	
Abir	f	Abeer
Abiram	m	
Abisai	m	
Abishag	f	
Abishai	m	
Abital	f	
'Abla	f	Abla
Abla	f	'Abla
Abner	m	
Abo	m	Abu
Abolfazl	m	
Abosede	f	Bose,Bosede
Aboubacar	m	Boubacar
Abraam	m	Abram
Abraão	m	
Ábrahám	m	
Abraham	m	Abe,Abrahán,Avi,Avraham,Bram
Abrahán	m	Abraham
Abram	m	Abraam
Abramo	m	
Abrar	fm	
Abrasha	m	Abram
Abril	f	
Absalom	m	
Abu	m	Abo
Abu al-Fadl	m	Abul-Fazl
Abubakar	m	
Abu Bakr	m	
Əbülfəz	m	Əbəlfəz
Abul-Fazl	m	Abu al-Fadl
Abundio	m	
Abundius	m	
Aca	m	Ace,Aco,Aleksa,Aleksandar,Saša,Sasho,Saško,Sašo
Acacia	f	
Acacius	m	Akakios
Acantha	f	Akantha
Ace	m	Aca,Aco,Aleksandar,Sasho,Saško,Sašo
Achaab	m	
Achab	m	Ahab
Achaemenes	m	Achaimenes,Haxamanish
Achaicus	m	
Achaikos	m	
Achaimenes	m	Achaemenes,Haxamanish
Achan	m	
Achard	m	
'Achashwerosh	m	
'Ach'av	m	
Acheim	m	
Acheloios	m	Achelous
Achelous	m	Acheloios
Achieng	f	
Achille	m	
Achilleas	m	Achillefs
Achillefs	m	Achilleas
Achilles	m	Achilleus
Achilleus	m	Achilles
Achim	m	Jo,Joachim,Jochen,Jockel
Achinoam	f	
Achlys	f	
Achsah	f	
